Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
508216;Podlesnyy;Podlesnyy;Lesnoy,Pervomayskiy,Podlesnyj,Podlesnyy,Подлесный;P;PPL;RU;Russian Federation;;76;;;;1745;;235;Europe/Moscow;2012-01-17;Russian Federation;53.94003, 38.26872
512618;Paran’ga;Paran'ga;Paran'ga,Paranga,Paran’ga,Параньга;P;PPLA2;RU;Russian Federation;;45;;;;6600;;141;Europe/Moscow;2023-12-11;Russian Federation;56.7037, 49.40373
513970;Otkaznoye;Otkaznoye;Otkaznoe,Otkaznoje,Otkaznoye,Отказное;P;PPL;RU;Russian Federation;;70;;;;4090;;157;Europe/Moscow;2012-01-17;Russian Federation;44.32639, 43.86083
514284;Ostankinskiy;Ostankinskiy;Novoostankino,Ostankino,Ostankinskij,Ostankinskiy,Pushkinskoye,Останкинский;P;PPLX;RU;Russian Federation;;48;;;;60000;;161;Europe/Moscow;2013-04-02;Russian Federation;55.82957, 37.61604
515155;Opochka;Opochka;Opochka,Opotschka,Opotsjka,Pechka,Опочка;P;PPLA2;RU;Russian Federation;;60;;;;13548;;97;Europe/Moscow;2023-06-14;Russian Federation;56.71448, 28.66287
517144;Novyye Gorki;Novyye Gorki;Nov.Gorki,Novye Gorki,Novyye Gorki,Нов.Горки,Новые Горки;P;PPL;RU;Russian Federation;;21;;;;2877;;97;Europe/Moscow;2014-06-26;Russian Federation;56.72535, 41.06014
517668;Novoye;Novoye;Novaya,Novoe,Novoye,Новое;P;PPL;RU;Russian Federation;;47;;;;2458;;128;Europe/Moscow;2015-03-13;Russian Federation;55.63104, 38.92001
518246;Novorudnyy;Novorudnyy;Novorudnyj,Novorudnyy,Новорудный;P;PPL;RU;Russian Federation;;55;;;;1930;;385;Asia/Yekaterinburg;2012-01-17;Russian Federation;51.5026, 58.1873
519027;Novobelokatay;Novobelokatay;Novobelokataj,Novobelokatay,Novyy Belokatay,Новобелокатай;P;PPL;RU;Russian Federation;;08;;;;5923;;249;Asia/Yekaterinburg;2012-01-17;Russian Federation;55.7062, 58.9549
521821;Nikolina Gora;Nikolina Gora;Nikolina Gora,Николина Гора;P;PPL;RU;Russian Federation;;47;;;;7046;;175;Europe/Moscow;2012-01-17;Russian Federation;55.73433, 37.04364
